"","year","cost_m","aggregate_demand_gbps","aggregate_capacity_gbps","aggregate_capacity_deficit_gbps","population","area","pop_density_km2","demand_density_mbps_km2","scenario","strategy"
"61",2030,20,276.9,148,-129,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-macro-densification.csv"
"62",2030,24.9,276.9,187.1,-89.8,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"63",2030,0,276.9,99,-177.9,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-minimal.csv"
"64",2030,23.5,276.9,185.6,-91.4,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-sectorisation.csv"
"65",2030,24.5,276.9,272.2,-4.7,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"66",2030,18.2,276.9,364.2,87.2,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-small-cell.csv"
"67",2030,20.3,255.4,145.8,-109.6,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-macro-densification.csv"
"68",2030,25.5,255.4,183.2,-72.2,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-macrocell-700-3500.csv"
"69",2030,0,255.4,96.7,-158.7,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-minimal.csv"
"70",2030,24.1,255.4,182.5,-72.8,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-sectorisation.csv"
"71",2030,25.7,255.4,269.1,13.8,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-small-cell-and-spectrum.csv"
"72",2030,18.2,255.4,361.9,106.5,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-small-cell.csv"
"73",2050,0.7,310.2,149.4,-160.8,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-macro-densification.csv"
"74",2050,33.7,310.2,205.4,-104.9,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-macrocell-700-3500.csv"
"75",2050,0,310.2,100.6,-209.7,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-minimal.csv"
"76",2050,34.7,310.2,195.9,-114.3,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-sectorisation.csv"
"77",2050,26,310.2,370.4,60.1,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-small-cell-and-spectrum.csv"
"78",2050,17.9,310.2,502.3,192,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-small-cell.csv"
"79",2050,0.7,317.4,153.8,-163.5,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-macro-densification.csv"
"80",2050,33.8,317.4,213.6,-103.7,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-macrocell-700-3500.csv"
"81",2050,0,317.4,104.6,-212.7,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-minimal.csv"
"82",2050,34.7,317.4,203.5,-113.9,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-sectorisation.csv"
"83",2050,26,317.4,377.9,60.5,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-small-cell-and-spectrum.csv"
"84",2050,17.9,317.4,505.6,188.2,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-small-cell.csv"
"85",2050,0.7,330.6,156.3,-174.3,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-macro-densification.csv"
"86",2050,33.1,330.6,213.3,-117.3,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"87",2050,0,330.6,104.7,-225.8,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-minimal.csv"
"88",2050,34.1,330.6,202.8,-127.8,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-sectorisation.csv"
"89",2050,24.2,330.6,374.2,43.7,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"90",2050,17.9,330.6,505.7,175.1,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-small-cell.csv"
"91",2050,0.7,274.8,148.3,-126.5,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-macro-densification.csv"
"92",2050,33.2,274.8,196.2,-78.6,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-macrocell-700-3500.csv"
"93",2050,0,274.8,99.2,-175.7,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-minimal.csv"
"94",2050,35.4,274.8,191.5,-83.3,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-sectorisation.csv"
"95",2050,26.7,274.8,370.3,95.5,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-small-cell-and-spectrum.csv"
"96",2050,17.9,274.8,500.1,225.3,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-small-cell.csv"
